Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
18,GREGOR MÜHLBERGER,146,MOVISTAR TEAM,77h 28' 49'',+ 01h 28' 17'',,,2025,3323,21,time,278929,5297
19,MATTEO JORGENSON,15,TEAM VISMA | LEASE A BIKE,77h 30' 00'',+ 01h 29' 28'',,,2025,3323,21,time,279000,5368
20,CRISTIAN RODRIGUEZ MARTIN,137,ARKEA-B&B HOTELS,77h 36' 47'',+ 01h 36' 15'',,,2025,3323,21,time,279407,5775
21,VALENTIN MADOUAS,95,GROUPAMA-FDJ,77h 40' 18'',+ 01h 39' 46'',,,2025,3323,21,time,279618,5986
22,XANDRO MEURISSE,104,ALPECIN-DECEUNINCK,77h 44' 18'',+ 01h 43' 46'',,,2025,3323,21,time,279858,6226
23,WARREN BARGUIL,192,TEAM PICNIC POSTNL,77h 48' 41'',+ 01h 48' 09'',,,2025,3323,21,time,280121,6489
24,ADAM YATES,8,UAE TEAM EMIRATES XRG,77h 49' 13'',+ 01h 48' 41'',,,2025,3323,21,time,280153,6521
25,AURÉLIEN PARET PEINTRE,156,DECATHLON AG2R LA MONDIALE TEAM,78h 13' 24'',+ 02h 12' 52'',,,2025,3323,21,time,281604,7972
26,RAUL GARCIA PIERNA,135,ARKEA-B&B HOTELS,78h 16' 30'',+ 02h 15' 58'',,,2025,3323,21,time,281790,8158
27,ALEKSANDR VLASOV,78,RED BULL - BORA - HANSGROHE,78h 16' 47'',+ 02h 16' 15'',,,2025,3323,21,time,281807,8175
28,VICTOR CAMPENAERTS,14,TEAM VISMA | LEASE A BIKE,78h 21' 08'',+ 02h 20' 36'',06',,2025,3323,21,time,282068,8436
29,MARC SOLER,6,UAE TEAM EMIRATES XRG,78h 21' 33'',+ 02h 21' 01'',,,2025,3323,21,time,282093,8461
30,EMANUEL BUCHMANN,161,COFIDIS,78h 22' 06'',+ 02h 21' 34'',,,2025,3323,21,time,282126,8494
31,EINER AUGUSTO RUBIO REYES,148,MOVISTAR TEAM,78h 22' 28'',+ 02h 21' 56'',,,2025,3323,21,time,282148,8516
32,ILAN VAN WILDER,28,SOUDAL QUICK-STEP,78h 23' 46'',+ 02h 23' 14'',,,2025,3323,21,time,282226,8594
33,CALLUM SCOTSON,157,DECATHLON AG2R LA MONDIALE TEAM,78h 26' 12'',+ 02h 25' 40'',,,2025,3323,21,time,282372,8740
34,ROMAIN GREGOIRE,94,GROUPAMA-FDJ,78h 26' 30'',+ 02h 25' 58'',,,2025,3323,21,time,282390,8758
35,HARRISON WILLIAM SWEENY,36,EF EDUCATION - EASYPOST,78h 28' 30'',+ 02h 27' 58'',,,2025,3323,21,time,282510,8878
36,CLÉMENT BERTHET,153,DECATHLON AG2R LA MONDIALE TEAM,78h 33' 22'',+ 02h 32' 50'',,,2025,3323,21,time,282802,9170
37,TIM WELLENS,7,UAE TEAM EMIRATES XRG,78h 38' 56'',+ 02h 38' 24'',10',,2025,3323,21,time,283136,9504
38,SIMONE VELASCO,178,XDS ASTANA TEAM,78h 42' 03'',+ 02h 41' 31'',,,2025,3323,21,time,283323,9691
39,FRANK VAN DEN BROEK,198,TEAM PICNIC POSTNL,78h 46' 16'',+ 02h 45' 44'',06',,2025,3323,21,time,283576,9944
40,SANTIAGO BUITRAGO SANCHEZ,51,BAHRAIN VICTORIOUS,78h 46' 20'',+ 02h 45' 48'',04',,2025,3323,21,time,283580,9948
41,VALENTIN PARET PEINTRE,25,SOUDAL QUICK-STEP,78h 47' 37'',+ 02h 47' 05'',10',,2025,3323,21,time,283657,10025
42,MICHAEL STORER,117,TUDOR PRO CYCLING TEAM,78h 51' 23'',+ 02h 50' 51'',04',,2025,3323,21,time,283883,10251
43,CLEMENT VENTURINI,138,ARKEA-B&B HOTELS,78h 53' 11'',+ 02h 52' 39'',,,2025,3323,21,time,283991,10359
44,HAROLD TEJADA CANACUE,171,XDS ASTANA TEAM,78h 55' 06'',+ 02h 54' 34'',,,2025,3323,21,time,284106,10474
45,QUENTIN PACHER,96,GROUPAMA-FDJ,78h 56' 32'',+ 02h 56' 00'',,,2025,3323,21,time,284192,10560
46,ALEX BAUDIN,34,EF EDUCATION - EASYPOST,78h 56' 47'',+ 02h 56' 15'',,,2025,3323,21,time,284207,10575
47,NEILSON POWLESS,35,EF EDUCATION - EASYPOST,78h 59' 24'',+ 02h 58' 52'',,,2025,3323,21,time,284364,10732
48,PETER JOSEPH BLACKMORE,203,ISRAEL - PREMIER TECH,78h 59' 36'',+ 02h 59' 04'',,,2025,3323,21,time,284376,10744
49,PASCAL EENKHOORN,23,SOUDAL QUICK-STEP,79h 00' 57'',+ 03h 00' 25'',04',,2025,3323,21,time,284457,10825
50,BRUNO ARMIRAIL,152,DECATHLON AG2R LA MONDIALE TEAM,79h 03' 44'',+ 03h 03' 12'',,,2025,3323,21,time,284624,10992
51,EWEN COSTIOU,133,ARKEA-B&B HOTELS,79h 07' 07'',+ 03h 06' 35'',,,2025,3323,21,time,284827,11195
52,MICHAEL RUSSELL WOODS,201,ISRAEL - PREMIER TECH,79h 07' 31'',+ 03h 06' 59'',,,2025,3323,21,time,284851,11219
53,AXEL LAURANCE,65,INEOS GRENADIERS,79h 10' 42'',+ 03h 10' 10'',,,2025,3323,21,time,285042,11410
54,TIESJ BENOOT,13,TEAM VISMA | LEASE A BIKE,79h 10' 51'',+ 03h 10' 19'',,,2025,3323,21,time,285051,11419
55,ALEXANDRE DELETTRE,183,TOTALENERGIES,79h 13' 00'',+ 03h 12' 28'',,,2025,3323,21,time,285180,11548
56,JULIAN ALAPHILIPPE,111,TUDOR PRO CYCLING TEAM,79h 13' 52'',+ 03h 13' 20'',04',,2025,3323,21,time,285232,11600
57,ANDREAS LEKNESSUND,227,UNO-X MOBILITY,79h 15' 16'',+ 03h 14' 44'',,,2025,3323,21,time,285316,11684
58,GERAINT THOMAS,61,INEOS GRENADIERS,79h 15' 29'',+ 03h 14' 57'',,,2025,3323,21,time,285329,11697
59,QUINN SIMMONS,84,LIDL-TREK,79h 18' 08'',+ 03h 17' 36'',06',,2025,3323,21,time,285488,11856
60,THOMAS GACHIGNARD,184,TOTALENERGIES,79h 23' 46'',+ 03h 23' 14'',,,2025,3323,21,time,285826,12194
61,MATHIS LE BERRE,136,ARKEA-B&B HOTELS,79h 26' 00'',+ 03h 25' 28'',,,2025,3323,21,time,285960,12328
62,JASPER STUYVEN,87,LIDL-TREK,79h 26' 43'',+ 03h 26' 11'',,,2025,3323,21,time,286003,12371
63,MATHIEU BURGAUDEAU,182,TOTALENERGIES,79h 26' 50'',+ 03h 26' 18'',,,2025,3323,21,time,286010,12378
64,MARKUS HOELGAARD,225,UNO-X MOBILITY,79h 27' 01'',+ 03h 26' 29'',,,2025,3323,21,time,286021,12389
65,EMIEL VERSTRYNGE,108,ALPECIN-DECEUNINCK,79h 28' 33'',+ 03h 28' 01'',,,2025,3323,21,time,286113,12481
66,JENNO BERCKMOES,212,LOTTO,79h 33' 44'',+ 03h 33' 12'',,,2025,3323,21,time,286424,12792
67,WOUT VAN AERT,17,TEAM VISMA | LEASE A BIKE,79h 34' 28'',+ 03h 33' 56'',06',,2025,3323,21,time,286468,12836
68,MAXIMILIAN SCHACHMANN,26,SOUDAL QUICK-STEP,79h 35' 33'',+ 03h 35' 01'',,,2025,3323,21,time,286533,12901
69,ION IZAGIRRE INSAUSTI,164,COFIDIS,79h 35' 34'',+ 03h 35' 02'',,,2025,3323,21,time,286534,12902
70,TOBIAS SVENDSEN FOSS,63,INEOS GRENADIERS,79h 35' 47'',+ 03h 35' 15'',,,2025,3323,21,time,286547,12915
71,JONAS ABRAHAMSEN,222,UNO-X MOBILITY,79h 36' 53'',+ 03h 36' 21'',10',,2025,3323,21,time,286613,12981
72,MICHAEL VALGREN,37,EF EDUCATION - EASYPOST,79h 37' 33'',+ 03h 37' 01'',,,2025,3323,21,time,286653,13021
73,OLIVER NAESEN,155,DECATHLON AG2R LA MONDIALE TEAM,79h 40' 00'',+ 03h 39' 28'',,,2025,3323,21,time,286800,13168
74,NELSON DOS SANTOS SIMOES OLIVEIRA,144,MOVISTAR TEAM,79h 41' 35'',+ 03h 41' 03'',,,2025,3323,21,time,286895,13263
75,NILS POLITT,4,UAE TEAM EMIRATES XRG,79h 45' 17'',+ 03h 44' 45'',,,2025,3323,21,time,287117,13485
76,ANDERS HALLAND JOHANNESSEN,226,UNO-X MOBILITY,79h 46' 34'',+ 03h 46' 02'',,,2025,3323,21,time,287194,13562
77,BASTIEN TRONCHON,158,DECATHLON AG2R LA MONDIALE TEAM,79h 47' 08'',+ 03h 46' 36'',,,2025,3323,21,time,287228,13596
78,MARC HIRSCHI,114,TUDOR PRO CYCLING TEAM,79h 49' 09'',+ 03h 48' 37'',,,2025,3323,21,time,287349,13717
79,LENNY MARTINEZ,55,BAHRAIN VICTORIOUS,79h 49' 37'',+ 03h 49' 05'',,00' 10'',2025,3323,21,time,287377,13745
80,MIKE TEUNISSEN,177,XDS ASTANA TEAM,79h 50' 00'',+ 03h 49' 28'',,,2025,3323,21,time,287400,13768
81,ALEX ARANBURU DEVA,162,COFIDIS,79h 50' 01'',+ 03h 49' 29'',,,2025,3323,21,time,287401,13769
82,LOUIS BARRE,42,INTERMARCHÉ - WANTY,79h 52' 06'',+ 03h 51' 34'',,,2025,3323,21,time,287526,13894
83,MARIUS MAYRHOFER,116,TUDOR PRO CYCLING TEAM,79h 53' 50'',+ 03h 53' 18'',,,2025,3323,21,time,287630,13998
84,BRENT VAN MOER,218,LOTTO,79h 53' 51'',+ 03h 53' 19'',,,2025,3323,21,time,287631,13999
85,CLÉMENT CHAMPOUSSIN,174,XDS ASTANA TEAM,79h 53' 59'',+ 03h 53' 27'',,,2025,3323,21,time,287639,14007
86,KADEN GROVES,103,ALPECIN-DECEUNINCK,79h 54' 01'',+ 03h 53' 29'',14',,2025,3323,21,time,287641,14009
87,PAVEL SIVAKOV,5,UAE TEAM EMIRATES XRG,79h 54' 51'',+ 03h 54' 19'',,,2025,3323,21,time,287691,14059
88,KRISTS NEILANDS,207,ISRAEL - PREMIER TECH,79h 54' 57'',+ 03h 54' 25'',,,2025,3323,21,time,287697,14065
89,LAURENCE PITHIE,75,RED BULL - BORA - HANSGROHE,79h 55' 16'',+ 03h 54' 44'',,,2025,3323,21,time,287716,14084
90,DYLAN TEUNS,166,COFIDIS,79h 56' 20'',+ 03h 55' 48'',,,2025,3323,21,time,287780,14148
91,KASPER ASGREEN,33,EF EDUCATION - EASYPOST,79h 58' 57'',+ 03h 58' 25'',,,2025,3323,21,time,287937,14305
92,ALEXEY LUTSENKO,206,ISRAEL - PREMIER TECH,80h 00' 24'',+ 03h 59' 52'',,,2025,3323,21,time,288024,14392
93,CLÉMENT RUSSO,98,GROUPAMA-FDJ,80h 02' 16'',+ 04h 01' 44'',,,2025,3323,21,time,288136,14504
94,DAMIEN TOUZE,168,COFIDIS,80h 02' 20'',+ 04h 01' 48'',,,2025,3323,21,time,288140,14508
95,TOMS SKUJINS,86,LIDL-TREK,80h 04' 48'',+ 04h 04' 16'',,,2025,3323,21,time,288288,14656
96,TOBIAS LUND LUND ANDRESEN,195,TEAM PICNIC POSTNL,80h 07' 23'',+ 04h 06' 51'',04',,2025,3323,21,time,288443,14811
97,MARCO HALLER,113,TUDOR PRO CYCLING TEAM,80h 09' 56'',+ 04h 09' 24'',,,2025,3323,21,time,288596,14964
98,JONAS RICKAERT,105,ALPECIN-DECEUNINCK,80h 11' 49'',+ 04h 11' 17'',,,2025,3323,21,time,288709,15077
